candidate_id,condition,headword,n_ai_raters,written_form_familiarity_mean,written_form_familiarity_sd,spoken_form_familiarity_mean,spoken_form_familiarity_sd,known_noun_familiarity_mean,known_noun_familiarity_sd,target_prior_knowledge_mean,target_prior_knowledge_sd,known_noun_accuracy_prob_mean,known_noun_accuracy_prob_sd,target_verb_preknowledge_prob_mean,target_verb_preknowledge_prob_sd,relatedness_mean,relatedness_sd,guessability_mean,guessability_sd,overlap_confusability_mean,overlap_confusability_sd,gloss_clarity_mean,gloss_clarity_sd,ok_count,watch_count,fail_count,threshold_issues,ai_recommendation,notes_joined
homo_nv_p02,operational_low_relatedness,cow,5,6.00,1.26,6.00,1.26,6.20,0.98,1.00,0.00,0.92,0.09,0.03,0.02,1.20,0.40,1.80,1.60,2.00,1.10,5.80,0.75,4,1,0,,OK_FOR_HUMAN_NORMING,牛だけ知る / 牛のみ既知 / 動詞は未知 / 動詞義は未知 / into silenceが強い
homo_nv_p07,operational_low_relatedness,dog,5,7.00,0.00,7.00,0.00,7.00,0.00,1.40,0.49,0.99,0.00,0.08,0.05,2.00,0.00,2.00,1.10,2.40,1.50,6.20,0.75,5,0,0,,OK_FOR_HUMAN_NORMING,犬の意味に引く / 犬のみ既知 / 尾行は低頻度 / 名詞が強い / 記者文脈は中程度
low_nv_x07,operational_low_relatedness,pound,5,4.60,1.02,4.60,1.02,3.80,0.75,2.40,0.80,0.62,0.15,0.22,0.11,2.00,0.00,3.00,1.10,2.80,0.75,6.80,0.40,0,5,0,written_form_familiarity_mean>=5.5 failed: 4.60; spoken_form_familiarity_mean>=5.0 failed: 4.60; known_noun_familiarity_mean>=6.0 failed: 3.80; known_noun_accuracy_prob_mean>=0.85 failed: 0.62; preferred_guessability<=2.5 missed: 3.00,WATCH_BEFORE_FORMAL,ポンドも弱い / ポンド曖昧 / 強打は既知かも / ポンドは授業語 / 雨と屋根で推測可
homo_nv_p04,operational_low_relatedness,coast,5,5.00,0.63,5.00,0.63,5.00,0.63,1.60,0.49,0.78,0.10,0.10,0.06,2.20,0.40,2.80,1.17,2.60,0.80,6.00,0.89,4,1,0,written_form_familiarity_mean>=5.5 failed: 5.00; known_noun_familiarity_mean>=6.0 failed: 5.00; known_noun_accuracy_prob_mean>=0.85 failed: 0.78; preferred_guessability<=2.5 missed: 2.80,WATCH_BEFORE_FORMAL,海岸は少し / 海岸は中程度 / 惰走は難しい / coast名詞は既知 / down hillが強い
homo_nv_p03,operational_low_relatedness,floor,5,6.60,0.49,6.60,0.49,6.60,0.49,1.60,0.80,0.95,0.04,0.13,0.10,1.60,0.49,2.20,1.47,2.80,1.17,6.20,0.75,4,1,0,,OK_FOR_HUMAN_NORMING,床は分かる / 床は既知 / 動詞は別意味 / floor動詞は低め / 難問で推測可
low_nv_x25,operational_low_relatedness,needle,5,5.20,0.75,5.20,0.75,5.20,0.75,1.20,0.40,0.82,0.12,0.09,0.05,2.00,0.00,2.20,1.47,2.60,1.02,6.40,0.49,4,1,0,written_form_familiarity_mean>=5.5 failed: 5.20; known_noun_familiarity_mean>=6.0 failed: 5.20; known_noun_accuracy_prob_mean>=0.85 failed: 0.82,WATCH_BEFORE_FORMAL,針はやや知る / 針はやや既知 / からかうは未知 / 針から推測弱い / 友人と失敗で推測可
low_nv_x13,operational_low_relatedness,cap,5,5.80,0.40,5.80,0.40,5.80,0.40,2.20,0.98,0.87,0.05,0.19,0.13,2.00,0.00,3.00,1.55,3.00,0.63,6.80,0.40,2,3,0,known_noun_familiarity_mean>=6.0 failed: 5.80; preferred_guessability<=2.5 missed: 3.00,WATCH_BEFORE_FORMAL,帽子だけ知る / 上限は文脈次第 / 制限はやや推測 / cap上限は試験語 / at thirtyが明白
low_nv_x27,operational_low_relatedness,bolt,5,3.80,0.98,3.80,0.98,3.60,1.02,1.40,0.49,0.56,0.18,0.10,0.07,1.20,0.40,1.80,1.60,2.20,0.40,6.20,0.75,0,5,0,written_form_familiarity_mean>=5.5 failed: 3.80; spoken_form_familiarity_mean>=5.0 failed: 3.80; known_noun_familiarity_mean>=6.0 failed: 3.60; known_noun_accuracy_prob_mean>=0.85 failed: 0.56,WATCH_BEFORE_FORMAL,語形が難しい / ボルト語義曖昧 / 名詞も弱い / ボルト借用語 / 馬と騒音で推測可
low_nv_x03,operational_low_relatedness,frame,5,5.40,0.80,5.40,0.80,5.20,0.75,2.20,0.98,0.79,0.12,0.18,0.14,2.00,0.00,2.40,1.36,3.80,0.40,6.20,0.75,2,3,0,written_form_familiarity_mean>=5.5 failed: 5.40; known_noun_familiarity_mean>=6.0 failed: 5.20; known_noun_accuracy_prob_mean>=0.85 failed: 0.79; overlap_confusability_mean<=3.0 failed: 3.80,WATCH_BEFORE_FORMAL,額縁は少し / フレーム既知 / 額縁は分かる / frameは受験語彙 / 泥棒と別人が手掛かり
low_nv_x24,operational_low_relatedness,stomach,5,5.60,0.49,5.60,0.49,6.00,0.63,2.00,0.63,0.89,0.06,0.15,0.08,2.40,0.49,2.60,0.80,2.60,1.02,6.80,0.40,5,0,0,preferred_guessability<=2.5 missed: 2.60,MINOR_WATCH,胃は知る / 胃は既知 / 我慢は文で推測 / 我慢義はやや難 / 訳は自然
ctrl_nv_p01,control,flinch,5,2.20,0.40,2.20,0.40,,,1.00,0.00,,,0.04,0.02,,,,,,,6.60,0.49,5,0,0,,OK_FOR_HUMAN_NORMING,知らない語 / 低頻度 / 形も未知 / 低頻度で未知 / 明確
ctrl_nv_p02,control,coax,5,2.40,0.80,2.40,0.80,,,1.20,0.40,,,0.07,0.06,,,,,,,6.00,0.63,5,0,0,,OK_FOR_HUMAN_NORMING,知らない語 / 低頻度 / 難語 / 語形はやや見覚え / 説得で明確
ctrl_nv_p03,control,jolt,5,3.20,0.40,3.20,0.40,,,2.00,0.63,,,0.16,0.11,,,,,,,6.60,0.49,1,4,0,written_form_familiarity_mean<=2.5 failed: 3.20; spoken_form_familiarity_mean<=2.5 failed: 3.20,WATCH_BEFORE_FORMAL,音は聞いたかも / 音で既知少し / 少し見たことあり / joltは試験で見る / 文脈で揺れが強い
ctrl_nv_p04,control,stifle,5,2.00,0.63,2.00,0.63,,,1.20,0.40,,,0.07,0.06,,,,,,,6.20,0.75,5,0,0,,OK_FOR_HUMAN_NORMING,かなり難しい / 低頻度 / 未知 / やや難語 / 抑えるで自然
ctrl_nv_p05,control,veer,5,2.40,0.80,2.40,0.80,,,1.20,0.40,,,0.07,0.07,,,,,,,6.40,0.80,4,1,0,,OK_FOR_HUMAN_NORMING,知らない語 / 低頻度 / 未知 / 語形は弱く既知 / 道路文脈で推測可
ctrl_nv_p06,control,wring,5,2.40,0.80,2.40,0.80,,,1.20,0.40,,,0.08,0.07,,,,,,,6.80,0.40,4,1,0,,OK_FOR_HUMAN_NORMING,知らない語 / 低頻度 / 絞るは明確 / wringは低頻度 / タオルで推測可
ctrl_nv_x01,control,abate,5,1.80,1.17,1.80,1.17,,,1.40,0.80,,,0.09,0.15,,,,,,,6.20,0.75,4,1,0,,OK_FOR_HUMAN_NORMING,かなり難しい / 未習語 / 未知 / abateは受験語 / 短く明確
ctrl_nv_x02,control,chide,5,1.60,0.80,1.60,0.80,,,1.20,0.40,,,0.06,0.07,,,,,,,6.80,0.40,4,1,0,,OK_FOR_HUMAN_NORMING,知らない語 / 未習語 / 未知 / 既知率低め / 教師文脈で推測可
ctrl_nv_x03,control,clench,5,2.60,0.80,2.60,0.80,,,1.40,0.49,,,0.10,0.08,,,,,,,6.80,0.40,3,2,0,written_form_familiarity_mean<=2.5 failed: 2.60; spoken_form_familiarity_mean<=2.5 failed: 2.60,WATCH_BEFORE_FORMAL,知らない語 / 低頻度 / 握るで推測 / 動作から少し推測 / handsで推測可
ctrl_nv_x04,control,elude,5,2.60,1.36,2.60,1.36,,,1.80,1.17,,,0.16,0.18,,,,,,,6.20,0.75,2,3,0,written_form_familiarity_mean<=2.5 failed: 2.60; spoken_form_familiarity_mean<=2.5 failed: 2.60,WATCH_BEFORE_FORMAL,知らない語 / 低頻度 / 受験語かも / eludeは受験語彙 / 答え文脈が抽象的
