rank,candidate_id,headword,round1_role,prompt_source,target_context_sentence_en,sentence_token_count,non_target_unknown_words,non_target_high_rank_words,max_non_target_nj8_rank,context_cue_risk,construct_risk,recommended_action,review_notes,instrument_note
11,homo_nv_p12,duck,core_round1_watch,new_round1_minimum_draft,The player had to duck under the rope.,8,,,2896,medium,movement route may make the target guessable from bird behavior,include_if_full_round1,"Sentence vocabulary is appropriate, but relatedness and guessability must be strict.",Use only if expanding beyond the top-10 pack.
12,low_nv_x29,beam,core_round1_watch,new_round1_minimum_draft,The child began to beam at her teacher.,8,,,426,medium,brightness metaphor may raise perceived relatedness,include_if_full_round1,Sentence is simple; norm whether learners infer smiling from light or brightness.,"Keep as a core watch item, not a preferred final item before norming."
13,low_nv_x26,mug,core_round1_watch,new_round1_minimum_draft,A man tried to mug a woman in the park.,10,,,411,low,crime-domain sentence and weak noun-route familiarity,include_if_full_round1_with_noun_check,"Non-target English is easy, but mug-cup noun familiarity must be verified.",Include an explicit known-noun objective check.
14,low_nv_x09,doctor,core_round1_watch,new_round1_minimum_draft,They tried to doctor the report.,6,,,375,medium,target register and learner-list visibility unresolved,include_if_full_round1_with_visibility_check,Report context is simple; external learner-list evidence is still missing.,Do not treat as final-safe until visibility metrics are updated.
15,low_nv_x15,harbor,core_round1_watch,new_round1_minimum_draft,The family tried to harbor the thief.,7,,,2111,medium,known noun may be weak and target is context-bound,include_if_full_round1_with_noun_check,"Theft context is understandable, but harbor as port must pass noun familiarity.",Prioritize known-noun accuracy and gloss clarity.
16,low_nv_x28,skirt,core_round1_watch,new_round1_minimum_draft,The student tried to skirt the question.,7,,,255,medium,phrase-bound and moderately transparent avoid-route,include_if_full_round1_watch_only,"The sentence is easy, but skirt the question is phrase-like.",Use as diagnostic backup unless phrase-bound targets are allowed.
17,homo_nv_p05,dish,reserve_fill_to_round1_minimum,new_round1_minimum_draft,Friends may dish about the actor after class.,8,,,911,medium,high register and phrase-bound risk,reserve_diagnostic_only,Dish about is colloquial and not a clean primary candidate for A2-B1.,Keep out of final 10 unless cleaner rows fail unexpectedly.
18,low_nv_x19,spring,reserve_fill_to_round1_minimum,new_round1_minimum_draft,The cat may spring from the box.,7,,,845,medium,spring as jump or coil may already be known,reserve_diagnostic_only,"Sentence is simple, but target-prior-knowledge contamination is likely.",Ask about spring as jump/bounce or coil before use.
19,homo_nv_p09,bank,reserve_fill_to_round1_minimum,new_round1_minimum_draft,The plane began to bank to the left.,8,,,1005,low,aviation-domain target,reserve_diagnostic_only,"Plane context is easy, but the target may test domain knowledge.",Use only as a domain-heavy diagnostic reserve.
20,homo_nv_p01,sound,reserve_fill_to_round1_minimum,new_round1_minimum_draft,The crew used a line to sound the water.,9,,,1812,medium,nautical and technical target,reserve_diagnostic_only,"The sentence keeps vocabulary manageable, but the construct risk remains high.",Use only as a domain-heavy diagnostic reserve.
21,homo_nv_p06,sock,reserve_fill_to_round1_minimum,new_round1_minimum_draft,He may sock the bag during practice.,7,,,652,low,informal target verb,reserve_diagnostic_only,"Sentence vocabulary is easy, but sock as hit is register-marked.",Use only if informal targets are deliberately retained.
22,low_nv_x04,season,reserve_fill_to_round1_minimum,new_round1_minimum_draft,Please season the soup with salt.,6,,,1198,high,seasoning transfer and food-domain cue,reserve_diagnostic_only,"The sentence is very easy, but it may directly cue the food-domain target.",Norm target preknowledge of seasoning before considering.
23,low_nv_x33,stump,reserve_fill_to_round1_minimum,new_round1_minimum_draft,This problem may stump many students.,6,,,228,medium,known noun likely weak for A2-B1,reserve_diagnostic_only,"Sentence is easy, but stump as a noun may fail familiarity.",Use only if known-noun objective accuracy is unexpectedly high.
24,low_nv_x32,egg,reserve_fill_to_round1_minimum,new_round1_minimum_draft,His friends may egg him on to jump.,8,,,943,medium,particle-dependent target egg on,reserve_diagnostic_only,The target is semantically clean but not a clean one-word verb item.,Use only if phrasal-verb dependence is allowed.
